date,city,tourism_index,year,month,quarter,day_of_year,week_of_year,continent
2025-06-15,Bangkok,0.34,2025,6,2,166,24,Asia
2025-06-15,Istanbul,0.23,2025,6,2,166,24,Asia
2025-06-15,Tokyo,0.34,2025,6,2,166,24,Asia
2025-06-22,Bangkok,0.43,2025,6,2,173,25,Asia
2025-06-22,Istanbul,0.21,2025,6,2,173,25,Asia
2025-06-22,Tokyo,0.33,2025,6,2,173,25,Asia
2025-06-29,Bangkok,0.38,2025,6,2,180,26,Asia
2025-06-29,Istanbul,0.24,2025,6,2,180,26,Asia
2025-06-29,Tokyo,0.35,2025,6,2,180,26,Asia
2025-07-06,Bangkok,0.47,2025,7,3,187,27,Asia
2025-07-06,Istanbul,0.32,2025,7,3,187,27,Asia
2025-07-06,Tokyo,0.42,2025,7,3,187,27,Asia
2025-07-13,Bangkok,0.45,2025,7,3,194,28,Asia
2025-07-13,Istanbul,0.38,2025,7,3,194,28,Asia
2025-07-13,Tokyo,0.44,2025,7,3,194,28,Asia
2025-07-20,Bangkok,0.6,2025,7,3,201,29,Asia
2025-07-20,Istanbul,0.51,2025,7,3,201,29,Asia
2025-07-20,Tokyo,0.52,2025,7,3,201,29,Asia
2025-07-27,Bangkok,0.49,2025,7,3,208,30,Asia
2025-07-27,Istanbul,0.5,2025,7,3,208,30,Asia
2025-07-27,Tokyo,0.51,2025,7,3,208,30,Asia
2025-08-03,Bangkok,0.77,2025,8,3,215,31,Asia
2025-08-03,Istanbul,0.78,2025,8,3,215,31,Asia
2025-08-03,Tokyo,0.74,2025,8,3,215,31,Asia
2025-08-10,Bangkok,0.88,2025,8,3,222,32,Asia
2025-08-10,Istanbul,0.94,2025,8,3,222,32,Asia
2025-08-10,Tokyo,0.94,2025,8,3,222,32,Asia
2025-08-17,Bangkok,0.92,2025,8,3,229,33,Asia
2025-08-17,Istanbul,0.87,2025,8,3,229,33,Asia
2025-08-17,Tokyo,0.83,2025,8,3,229,33,Asia
2025-08-24,Bangkok,0.62,2025,8,3,236,34,Asia
2025-08-24,Istanbul,0.64,2025,8,3,236,34,Asia
2025-08-24,Tokyo,0.69,2025,8,3,236,34,Asia
2025-08-31,Bangkok,0.73,2025,8,3,243,35,Asia
2025-08-31,Istanbul,0.73,2025,8,3,243,35,Asia
2025-08-31,Tokyo,0.77,2025,8,3,243,35,Asia
2025-09-07,Bangkok,0.62,2025,9,3,250,36,Asia
2025-09-07,Istanbul,0.61,2025,9,3,250,36,Asia
2025-09-07,Tokyo,0.67,2025,9,3,250,36,Asia
